Title,Production_studio,Genre,Release_year,Platform
The Witcher 1,CD Projekt RED,Hack and Slash,2007,PC
The Witcher 2,CD Projekt RED,Hack and Slash,2011,PC/Console
The Witcher 3,CD Projekt RED,Open World,2015,PC/Console
Uncharted: Drake's Fortune,Naughty Dog,Action-adventure,2007,PS
Uncharted 2: Among Thieves,Naughty Dog,Action-adventure,2009,PS
Uncharter 3: Drake's Deception,Naughty Dog,Action-adventure,2011,PS
Uncharted 4: A Thief's End,Naughty Dog,Action-adventure,2016,PC/PS
Uncharted: The Lost Legacy,Naughty Dog,Action-adventure,2017,PC/PS
God of War 4,Santa Monica,Action-adventure,2018,PC/PS
Grant Theft Auto 5,Rockstart,Action-adventure,2013,pc/Console
Counter Strike: Global Offensive,Valve,First-person Shooter,2012,PC/Console
